iid1	iid2	chr	start	end	sum_IBD>8
FAM001_ID001	I0057	1	5325924	9888202	1531.2265277462056
FAM001_ID001	I0057	1	10879725	14507803	1531.2265277462056
FAM001_ID001	I0057	1	18272751	22450487	1531.2265277462056
FAM001_ID001	I0057	1	23042471	37254301	1531.2265277462056
FAM001_ID001	I0057	1	48522209	56413519	1531.2265277462056
FAM001_ID001	I0057	1	73082539	88862772	1531.2265277462056
FAM001_ID001	I0057	1	101864215	110666410	1531.2265277462056
FAM001_ID001	I0057	1	119955781	153676713	1531.2265277462056
FAM001_ID001	I0057	1	203006098	207655815	1531.2265277462056
FAM001_ID001	I0057	1	209048680	216883643	1531.2265277462056
FAM001_ID001	I0057	1	217417838	227539205	1531.2265277462056
FAM001_ID001	I0057	1	239332114	246557784	1531.2265277462056
FAM001_ID001	I0057	2	2536915	11613386	1531.2265277462056
FAM001_ID001	I0057	2	12288271	19891208	1531.2265277462056
FAM001_ID001	I0057	2	20878406	30071411	1531.2265277462056
FAM001_ID001	I0057	2	37033702	45536897	1531.2265277462056
FAM001_ID001	I0057	2	67072059	75392979	1531.2265277462056
FAM001_ID001	I0057	2	118997824	129008332	1531.2265277462056
FAM001_ID001	I0057	2	154006072	167326652	1531.2265277462056
FAM001_ID001	I0057	2	173905497	180378253	1531.2265277462056
FAM001_ID001	I0057	2	202964026	216770814	1531.2265277462056
FAM001_ID001	I0057	2	227537341	235263788	1531.2265277462056
FAM001_ID001	I0057	2	237198025	242124289	1531.2265277462056
FAM001_ID001	I0057	3	168731	3100615	1531.2265277462056
FAM001_ID001	I0057	3	3418950	12498401	1531.2265277462056
FAM001_ID001	I0057	3	54077726	61940856	1531.2265277462056
FAM001_ID001	I0057	3	70449145	97721299	1531.2265277462056
FAM001_ID001	I0057	3	124918754	133129272	1531.2265277462056
FAM001_ID001	I0057	3	145666916	150697733	1531.2265277462056
FAM001_ID001	I0057	3	171836330	178357197	1531.2265277462056
FAM001_ID001	I0057	3	183932829	192012083	1531.2265277462056
FAM001_ID001	I0057	3	192646049	196662521	1531.2265277462056
FAM001_ID001	I0057	4	2051518	5386109	1531.2265277462056
FAM001_ID001	I0057	4	26474166	34713237	1531.2265277462056
FAM001_ID001	I0057	4	38206197	72578956	1531.2265277462056
FAM001_ID001	I0057	4	75198308	84118041	1531.2265277462056
FAM001_ID001	I0057	4	112297415	120249184	1531.2265277462056
FAM001_ID001	I0057	4	136754367	146870683	1531.2265277462056
FAM001_ID001	I0057	4	177612079	185805191	1531.2265277462056
FAM001_ID001	I0057	5	4633275	8650225	1531.2265277462056
FAM001_ID001	I0057	5	15140653	21269337	1531.2265277462056
FAM001_ID001	I0057	5	26874641	32326451	1531.2265277462056
FAM001_ID001	I0057	5	97633069	108609854	1531.2265277462056
FAM001_ID001	I0057	5	120339865	125218206	1531.2265277462056
FAM001_ID001	I0057	5	144382792	151086633	1531.2265277462056
FAM001_ID001	I0057	5	160701329	173097020	1531.2265277462056
FAM001_ID001	I0057	5	173583051	180690937	1531.2265277462056
FAM001_ID001	I0057	6	408012	3438452	1531.2265277462056
FAM001_ID001	I0057	6	5892965	9751165	1531.2265277462056
FAM001_ID001	I0057	6	42139825	49313764	1531.2265277462056
FAM001_ID001	I0057	6	52285832	69487204	1531.2265277462056
FAM001_ID001	I0057	6	130642109	137674040	1531.2265277462056
FAM001_ID001	I0057	6	166196335	169035937	1531.2265277462056
FAM001_ID001	I0057	7	1270738	5835718	1531.2265277462056
FAM001_ID001	I0057	7	12821521	24022712	1531.2265277462056
FAM001_ID001	I0057	7	45278008	54705852	1531.2265277462056
FAM001_ID001	I0057	7	77987710	82619628	1531.2265277462056
FAM001_ID001	I0057	7	93345774	108019844	1531.2265277462056
