Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
2965	5309	0.100959	0.17802199721336365	2344	0.077062994	8	4073225	6722082	results/01_atlas/I0048	results/01_atlas/I0013
11531	14646	0.40826699137687683	0.5005040168762207	3115	0.09223702549934387	8	19122184	24619086	results/01_atlas/I0048	results/01_atlas/I0013
15107	20986	0.5174049735069275	0.6763240098953247	5879	0.15891903638839722	8	25567088	40704851	results/01_atlas/I0048	results/01_atlas/I0013
22389	26534	0.698406994342804	0.7873309850692749	4145	0.08892399072647095	8	49888184	60956235	results/01_atlas/I0048	results/01_atlas/I0013
37331	39815	1.02360200881958	1.0884289741516113	2484	0.06482696533203125	8	91361833	98154441	results/01_atlas/I0048	results/01_atlas/I0013
40965	43250	1.1238930225372314	1.184973955154419	2285	0.0610809326171875	8	101675872	106654909	results/01_atlas/I0048	results/01_atlas/I0013
52035	54896	1.4047839641571045	1.4815939664840698	2861	0.07681000232696533	8	128595878	134040731	results/01_atlas/I0048	results/01_atlas/I0013
666	2310	0.018149	0.08047900348901749	1644	0.062330004	8	1319724	3508977	results/01_atlas/I0048	FAM001_ID001
11436	13440	0.4026220142841339	0.4686889946460724	2004	0.06606698036193848	8	18976000	22433508	results/01_atlas/I0048	FAM001_ID001
16360	21023	0.5451260209083557	0.6765310168266296	4663	0.13140499591827393	8	27734464	40781558	results/01_atlas/I0048	FAM001_ID001
37104	41762	1.0210490226745605	1.1525310277938843	4658	0.13148200511932373	8	90772766	103070301	results/01_atlas/I0048	FAM001_ID001
50424	52582	1.3442989587783813	1.4249399900436401	2158	0.08064103126525879	8	125456928	129473012	results/01_atlas/I0048	FAM001_ID001
58105	61091	1.562600016593933	1.6800220012664795	2986	0.11742198467254639	8	139292884	146296414	results/01_atlas/I0048	FAM001_ID001
13074	23175	0.45145	0.7056980133056641	10101	0.25424802	8	21529428	52497712	results/01_atlas/I0013	FAM001_ID001
23759	31427	0.7211560010910034	0.9137439727783203	7668	0.1925879716873169	8	53917467	73644796	results/01_atlas/I0013	FAM001_ID001
33874	37177	0.960096001625061	1.02218496799469	3303	0.062088966369628906	8	80496292	90947494	results/01_atlas/I0013	FAM001_ID001
38763	43230	1.0577479600906372	1.1839560270309448	4467	0.12620806694030762	8	96086311	106594719	results/01_atlas/I0013	FAM001_ID001
47585	51906	1.2615519762039185	1.3970799446105957	4321	0.13552796840667725	8	119313817	128390660	results/01_atlas/I0013	FAM001_ID001
58725	61062	1.58639395236969	1.679386019706726	2337	0.09299206733703613	8	140253232	146173636	results/01_atlas/I0013	FAM001_ID001
