Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
74	11198	0.003119	0.4899030029773712	11124	0.486784	16	335373	25068566	results/01_atlas/I0048	results/01_atlas/I0013
16605	18489	0.7005509734153748	0.7713029980659485	1884	0.07075202465057373	16	54743397	58363647	results/01_atlas/I0048	results/01_atlas/I0013
25513	27387	0.9595100283622742	1.0340520143508911	1874	0.07454198598861694	16	77705268	79828775	results/01_atlas/I0048	results/01_atlas/I0013
31928	33163	1.204285979270935	1.2813489437103271	1235	0.07706296443939209	16	85411133	86976433	results/01_atlas/I0048	results/01_atlas/I0013
126	2655	0.004275	0.14437299966812134	2529	0.140098	16	440944	6471647	results/01_atlas/I0048	FAM001_ID001
3011	10723	0.15508100390434265	0.4681459963321686	7712	0.3130649924278259	16	6809811	24095016	results/01_atlas/I0048	FAM001_ID001
10895	12929	0.4766240119934082	0.5702909827232361	2034	0.09366697072982788	16	24357983	29281066	results/01_atlas/I0048	FAM001_ID001
16476	19285	0.6962230205535889	0.7996140122413635	2809	0.10339099168777466	16	54532641	60605186	results/01_atlas/I0048	FAM001_ID001
20942	23942	0.8424069881439209	0.9214829802513123	3000	0.07907599210739136	16	65243973	74360929	results/01_atlas/I0048	FAM001_ID001
25498	29392	0.959326982498169	1.1000659465789795	3894	0.14073896408081055	16	77692030	82560436	results/01_atlas/I0048	FAM001_ID001
31993	33766	1.2122290134429932	1.317060947418213	1773	0.10483193397521973	16	85566655	88448685	results/01_atlas/I0048	FAM001_ID001
126	2655	0.004275	0.14437299966812134	2529	0.140098	16	440944	6471647	results/01_atlas/I0013	FAM001_ID001
3011	11813	0.15508100390434265	0.5193060040473938	8802	0.36422500014305115	16	6809811	26302989	results/01_atlas/I0013	FAM001_ID001
13498	18310	0.5853980183601379	0.7650070190429688	4812	0.1796090006828308	16	46985375	57932058	results/01_atlas/I0013	FAM001_ID001
24609	26756	0.9409890174865723	1.0091170072555542	2147	0.06812798976898193	16	76276310	79104622	results/01_atlas/I0013	FAM001_ID001
28420	33729	1.0625749826431274	1.3045979738235474	5309	0.24202299118041992	16	81238485	88136668	results/01_atlas/I0013	FAM001_ID001
